Date,Day,WLEMUINDXD
01/07/2018,Sun,10.52
02/07/2018,Mon,33.27
03/07/2018,Tue,8.5
04/07/2018,Wed,45.79
05/07/2018,Thu,33.91
06/07/2018,Fri,90.81
07/07/2018,Sat,127.44
08/07/2018,Sun,125.27
09/07/2018,Mon,50.44
10/07/2018,Tue,26.9
11/07/2018,Wed,6.69
12/07/2018,Thu,32.79
13/07/2018,Fri,7.55
14/07/2018,Sat,12.97
15/07/2018,Sun,11.33
16/07/2018,Mon,12.34
17/07/2018,Tue,27.13
18/07/2018,Wed,13.15
19/07/2018,Thu,12.63
20/07/2018,Fri,23.12
21/07/2018,Sat,25.85
22/07/2018,Sun,11.42
23/07/2018,Mon,12.14
24/07/2018,Tue,27.7
25/07/2018,Wed,6.61
26/07/2018,Thu,26.16
27/07/2018,Fri,7.68
28/07/2018,Sat,13.1
29/07/2018,Sun,11.42
30/07/2018,Mon,12.58
31/07/2018,Tue,9.22
01/08/2018,Wed,6.59
02/08/2018,Thu,12.9
03/08/2018,Fri,7.43
04/08/2018,Sat,25.75
05/08/2018,Sun,10.96
06/08/2018,Mon,11.86
07/08/2018,Tue,9.03
08/08/2018,Wed,13.01
09/08/2018,Thu,6.56
10/08/2018,Fri,7.77
11/08/2018,Sat,12.9
12/08/2018,Sun,103.7
13/08/2018,Mon,36.69
14/08/2018,Tue,81.49
15/08/2018,Wed,6.59
16/08/2018,Thu,6.24
17/08/2018,Fri,22.32
18/08/2018,Sat,36.24
19/08/2018,Sun,55.12
20/08/2018,Mon,11.86
21/08/2018,Tue,17.2
22/08/2018,Wed,12.64
23/08/2018,Thu,78.54
24/08/2018,Fri,28.12
25/08/2018,Sat,195.17
26/08/2018,Sun,42.02
27/08/2018,Mon,22.77
28/08/2018,Tue,50.18
29/08/2018,Wed,12.52
30/08/2018,Thu,30.45
31/08/2018,Fri,103.98
01/09/2018,Sat,33.02
02/09/2018,Sun,43.23
03/09/2018,Mon,50.37
04/09/2018,Tue,18.59
05/09/2018,Wed,30.89
06/09/2018,Thu,24.8
07/09/2018,Fri,20.57
08/09/2018,Sat,10.67
09/09/2018,Sun,10.15
10/09/2018,Mon,10.34
11/09/2018,Tue,8.1
12/09/2018,Wed,12.45
13/09/2018,Thu,6
14/09/2018,Fri,13.54
15/09/2018,Sat,21.71
16/09/2018,Sun,31.42
17/09/2018,Mon,11.02
18/09/2018,Tue,57.3
19/09/2018,Wed,31.36
20/09/2018,Thu,5.93
21/09/2018,Fri,35.07
22/09/2018,Sat,10.82
23/09/2018,Sun,10.52
24/09/2018,Mon,11.14
25/09/2018,Tue,17.19
26/09/2018,Wed,6.1
27/09/2018,Thu,54.23
28/09/2018,Fri,14.48
29/09/2018,Sat,65.72
30/09/2018,Sun,83.78
01/10/2018,Mon,43.76
02/10/2018,Tue,16.37
03/10/2018,Wed,177.91
04/10/2018,Thu,6.03
05/10/2018,Fri,27.99
