"","Date","Price","MA_50","OBV","ThreemTbill","RSI","Tenyrbond","MACDSignal","mfi","macd","be_inflation","OVX"
"22","09/03/2018",9337.549805,11174.95745214,40416041984,1.64,42.1942316795093,2.9792,-2.84470111110868,50.8484221258444,594.891366886426,2.12,26.23
"23","12/03/2018",9205.120117,11085.91585048,33958642176,1.68,41.3657870835898,2.9644,132.67277577185,42.9863882220668,674.742683303686,2.1,24.02
"24","13/03/2018",9194.849609,10970.17085046,27967502336,1.7,41.2980648395146,2.9406,239.763806176997,44.8533706383788,668.127927797585,2.09,25.5
"25","14/03/2018",8269.80957,10831.54704186,21529272320,1.73,35.6387281242364,2.9178,383.791248846618,46.049986635003,959.901019525103,2.07,25.209999
"26","15/03/2018",8300.860352,10685.5802449,28363702272,1.74,35.955985024919,2.915,509.224466658365,44.8051000533234,1010.95733790535,2.08,25.07
"27","16/03/2018",8338.349609,10503.75723708,33653082112,1.75,36.3638433916911,2.9321,597.76727848198,43.0066455576135,951.938525776439,2.08,24.530001
"28","19/03/2018",8630.650391,10372.9682527,40382192128,1.77,39.5939657745263,2.9374,629.358659866013,42.0066870281742,755.724185402147,2.08,25.280001
"29","20/03/2018",8913.469727,10259.32963944,46743982080,1.78,42.6283872145334,2.9636,606.810115028773,48.7786589425145,516.615935679811,2.08,25.299999
"30","21/03/2018",8929.280273,10138.4492487,52787111936,1.71,42.8013703048978,2.971,560.000911667314,47.3004063551954,372.764098221478,2.09,25.950001
"31","22/03/2018",8728.469727,10044.90264704,47256721920,1.69,41.1061065797419,2.9282,519.842308462138,39.5636818160138,359.207895641435,2.08,26.469999
"32","23/03/2018",8879.620117,9942.88305718,53210842112,1.71,42.9381382274745,2.9067,470.666754465841,37.9974510773323,273.964538480654,2.07,27.559999
"33","26/03/2018",8209.400391,9830.6750688,47289802240,1.76,37.3848416457096,2.927,469.435139708461,39.1528270548085,464.508680678939,2.08,27.709999
"34","27/03/2018",7833.040039,9757.52586958,41911552000,1.74,34.6729646979942,2.8754,506.369983630689,41.4449809114181,654.1093593196,2.07,27.379999
"35","28/03/2018",7954.47998,9692.84347698,46846841856,1.7,36.2791597829181,2.8666,534.7228637864,48.2428951678707,648.134384409247,2.05,26.67
"36","29/03/2018",7165.700195,9606.65947308,40485612032,1.7,30.9553767784991,2.8371,606.089395859949,50.6543410722306,891.555524154144,2.05,25.07
"37","30/03/2018",6890.52002,9512.32186568,34196102144,1.1827,29.337899475308,2.0949,692.571592807958,51.82301337745,1038.50038059999,2.03,43.06
"38","02/04/2018",7083.799805,9435.36985398,38529542144,1.74,32.0245320818517,2.8208,746.472048617004,58.2568901639202,962.073871853191,2.05,27.530001
"39","03/04/2018",7456.109863,9367.12404344,44029242368,1.72,36.9939657857254,2.8547,742.83839329481,65.5352999959743,728.303772006032,2.08,26.889999
"40","04/04/2018",6853.839844,9277.01283252,39093242368,1.68,32.8147486461435,2.8672,754.127144816887,59.0000829884294,799.282150905195,2.08,26.17
"41","05/04/2018",6811.470215,9188.05422902,33453922304,1.69,32.5362776226785,2.8933,761.759616320407,52.5605257972823,792.289502334484,2.08,24.379999
"42","06/04/2018",6636.319824,9097.35261769999,29687112192,1.7,31.3518323723362,2.8554,769.540065955968,45.7750637766412,800.661864498212,2.07,24.99
"43","09/04/2018",6770.72998,9006.83920949999,34581172224,1.73,33.3568056492464,2.8561,755.957794085297,43.5566180803509,701.628706602613,2.07,25.639999
"44","10/04/2018",6834.759766,8941.40840861999,38853922304,1.71,34.340615339655,2.8691,722.458535843107,41.0220643454511,588.461502874346,2.08,28.049999
"45","11/04/2018",6968.319824,8876.3528129,43495812096,1.7,36.4480936090984,2.8597,668.210747301247,48.2835792497535,451.219593133808,2.11,29.42
"46","12/04/2018",7889.25,8850.72701211999,52402062336,1.72,48.6798540713447,2.896,539.367076808462,49.910762375752,23.9923948373216,2.13,28.73
"47","13/04/2018",7895.959961,8832.03121134,60166522368,1.73,48.7572415790773,2.8996,398.453820824041,59.6311198833634,-165.199203113643,2.13,28.52
"48","16/04/2018",8058.669922,8854.09920937999,65797832192,1.76,50.6986659508151,2.905,259.597203115602,67.2689890414374,-295.829267718153,2.12,28.84
"49","17/04/2018",7902.089844,8857.06100626,58896952320,1.77,48.7832387319342,2.8952,152.617565972703,58.7879547169378,-275.300982598897,2.14,27.879999
"50","18/04/2018",8163.419922,8867.90340859999,65426862080,1.78,52.0399996433837,2.9293,53.3194483500369,67.0287872397695,-343.873022140626,2.16,29.42
"51","19/04/2018",8294.30957,8868.47780311999,72490072064,1.79,53.6304043725921,2.9696,-37.075556399837,74.9965949560173,-398.655575399333,2.17,29.360001
"52","20/04/2018",8845.830078,8870.65479529999,80928182272,1.78,59.6953229666052,3.01,-149.2688110635,76.6845475365999,-598.04182971815,2.17,28.99
"53","23/04/2018",8930.879883,8870.74098669999,87853372416,1.84,60.5521851149125,3.0401,-254.566651472485,77.4078872887101,-675.758013108427,2.18,28.969999
"54","24/04/2018",9697.5,8892.7247953,98532172800,1.84,67.3004080146087,3.0537,-392.749028098719,84.0946278252277,-945.478534603653,2.17,29.15
"55","25/04/2018",8845.740234,8879.74700231999,87449072640,1.82,55.8655201926471,3.0791,-451.60194462791,77.8357787652423,-687.013610744674,2.17,28.16
"56","26/04/2018",9281.509766,8862.04918983999,96419632128,1.79,59.6434403162858,3.0691,-499.080235320222,82.247101565703,-688.993398089469,2.18,26.860001
"57","27/04/2018",8987.049805,8837.11217813999,88853342208,1.78,56.1460201643198,3.0435,-506.454140329427,75.3353597401277,-535.949760366249,2.17,25.59
"58","30/04/2018",9240.549805,8797.41717803999,97527262208,1.84,58.4072225796981,3.0297,-510.533485595896,76.6648189351583,-526.850866661773,2.17,28.280001
"59","01/05/2018",9119.009766,8751.72336935999,89814242304,1.82,56.8925732515683,3.0378,-497.07077660586,70.4127935083384,-443.219940645713,2.16,28.07
"60","02/05/2018",9235.919922,8722.63375999999,97372402176,1.81,58.020296315142,3.0338,-481.716408057163,70.3990325398128,-420.298933862374,2.17,27.32
"61","03/05/2018",9743.860352,8717.41096703999,107579701760,1.8,62.5984013724338,3.0147,-499.091405045484,71.5052091642653,-568.591392998769,2.16,26.690001
"62","04/05/2018",9700.759766,8705.40417015999,99361871872,1.8,61.9807290488318,3.0202,-515.101487547978,64.8778382633351,-579.141817557955,2.16,26.17
"63","07/05/2018",9373.009766,8685.53036147999,91967852032,1.83,57.3468106868038,3.0236,-497.067032777663,63.9821182847199,-424.929213696405,2.17,28.860001
"64","08/05/2018",9234.820313,8655.71477553999,84551982080,1.84,55.4639450236982,3.0407,-453.474760557459,58.1750660873298,-279.10567167664,2.16,26.76
"65","09/05/2018",9325.179688,8634.26036149999,91778872320,1.85,56.4703623878254,3.0665,-408.867847683894,58.5117922481191,-230.440196189633,2.18,26.709999
